Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:45:57.266; 0.0076923
1/14/2021;19:45:57.268; 0.0076909
1/14/2021;19:45:57.270; 0.0076905
1/14/2021;19:45:57.272; 0.0076909
1/14/2021;19:45:57.274; 0.0076905
1/14/2021;19:45:57.276; 0.0076895
1/14/2021;19:45:57.278; 0.0076873
1/14/2021;19:45:57.280; 0.0076869
1/14/2021;19:45:57.282; 0.007688
1/14/2021;19:45:57.284; 0.0076898
1/14/2021;19:45:57.286; 0.0076905
1/14/2021;19:45:57.288; 0.0076909
1/14/2021;19:45:57.290; 0.0076905
1/14/2021;19:45:57.292; 0.0076912
1/14/2021;19:45:57.293; 0.0076916
1/14/2021;19:45:57.294; 0.0076916
1/14/2021;19:45:57.295; 0.0076912
1/14/2021;19:45:57.297; 0.0076898
1/14/2021;19:45:57.299; 0.0076887
1/14/2021;19:45:57.308; 0.0076902
1/14/2021;19:45:57.313; 0.007693
1/14/2021;19:45:57.315; 0.0076909
1/14/2021;19:45:57.317; 0.0076891
1/14/2021;19:45:57.319; 0.0076877
1/14/2021;19:45:57.321; 0.0076866
1/14/2021;19:45:57.323; 0.0076859
1/14/2021;19:45:57.325; 0.0076855
1/14/2021;19:45:57.326; 0.0076844
1/14/2021;19:45:57.328; 0.0076851
1/14/2021;19:45:57.329; 0.0076877
1/14/2021;19:45:57.331; 0.0076884
1/14/2021;19:45:57.334; 0.0076884
1/14/2021;19:45:57.335; 0.0076884
1/14/2021;19:45:57.337; 0.0076895
1/14/2021;19:45:57.339; 0.0076905
1/14/2021;19:45:57.341; 0.0076905
1/14/2021;19:45:57.343; 0.0076905
1/14/2021;19:45:57.345; 0.0076909
1/14/2021;19:45:57.347; 0.0076909
1/14/2021;19:45:57.349; 0.0076902
1/14/2021;19:45:57.351; 0.0076912
1/14/2021;19:45:57.353; 0.0076912
1/14/2021;19:45:57.355; 0.0076905
1/14/2021;19:45:57.357; 0.007692
1/14/2021;19:45:57.359; 0.0076912
1/14/2021;19:45:57.361; 0.0076937
1/14/2021;19:45:57.363; 0.0076955
1/14/2021;19:45:57.369; 0.0076948
1/14/2021;19:45:57.371; 0.0076941
1/14/2021;19:45:57.372; 0.007692
1/14/2021;19:45:57.374; 0.0076923
1/14/2021;19:45:57.376; 0.0076923
1/14/2021;19:45:57.378; 0.0076902
1/14/2021;19:45:57.380; 0.0076905
1/14/2021;19:45:57.382; 0.0076912
1/14/2021;19:45:57.384; 0.0076912
1/14/2021;19:45:57.386; 0.0076916
1/14/2021;19:45:57.388; 0.0076923
1/14/2021;19:45:57.390; 0.0076937
1/14/2021;19:45:57.392; 0.0076945
1/14/2021;19:45:57.394; 0.0076937
1/14/2021;19:45:57.396; 0.0076934
1/14/2021;19:45:57.398; 0.007693
1/14/2021;19:45:57.400; 0.0076927
1/14/2021;19:45:57.402; 0.0076923
1/14/2021;19:45:57.404; 0.0076923
1/14/2021;19:45:57.406; 0.0076927
1/14/2021;19:45:57.408; 0.0076945
1/14/2021;19:45:57.410; 0.0076941
1/14/2021;19:45:57.411; 0.007693
1/14/2021;19:45:57.413; 0.0076927
1/14/2021;19:45:57.415; 0.0076927
1/14/2021;19:45:57.417; 0.007693
1/14/2021;19:45:57.419; 0.0076934
1/14/2021;19:45:57.421; 0.0076937
1/14/2021;19:45:57.423; 0.0076923
1/14/2021;19:45:57.425; 0.0076934
1/14/2021;19:45:57.427; 0.0076916
1/14/2021;19:45:57.428; 0.0076923
1/14/2021;19:45:57.430; 0.0076909
1/14/2021;19:45:57.432; 0.0076916
1/14/2021;19:45:57.434; 0.0076909
1/14/2021;19:45:57.436; 0.0076895
1/14/2021;19:45:57.438; 0.0076884
1/14/2021;19:45:57.439; 0.0076873
1/14/2021;19:45:57.447; 0.0076862
1/14/2021;19:45:57.452; 0.0076866
1/14/2021;19:45:57.454; 0.0076884
1/14/2021;19:45:57.456; 0.0076866
1/14/2021;19:45:57.458; 0.0076859
1/14/2021;19:45:57.460; 0.0076873
1/14/2021;19:45:57.462; 0.0076869
1/14/2021;19:45:57.464; 0.0076851
1/14/2021;19:45:57.466; 0.0076837
1/14/2021;19:45:57.468; 0.007683
1/14/2021;19:45:57.470; 0.0076841
1/14/2021;19:45:57.472; 0.0076841
1/14/2021;19:45:57.473; 0.0076855
1/14/2021;19:45:57.475; 0.0076873
1/14/2021;19:45:57.477; 0.0076877
1/14/2021;19:45:57.479; 0.0076909
1/14/2021;19:45:57.481; 0.0076934
1/14/2021;19:45:57.483; 0.0076959
1/14/2021;19:45:57.485; 0.0076955
1/14/2021;19:45:57.487; 0.0076966
1/14/2021;19:45:57.489; 0.0076973
1/14/2021;19:45:57.490; 0.0076973
