Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:22:57.994; 0.00032828
1/14/2021;19:22:57.996; 0.00032828
1/14/2021;19:22:57.998; 0.00032828
1/14/2021;19:22:58.000; 0.00032792
1/14/2021;19:22:58.008; 0.00032792
1/14/2021;19:22:58.013; 0.00032756
1/14/2021;19:22:58.016; 0.00032756
1/14/2021;19:22:58.017; 0.00032828
1/14/2021;19:22:58.019; 0.00032792
1/14/2021;19:22:58.021; 0.00032792
1/14/2021;19:22:58.023; 0.00032756
1/14/2021;19:22:58.025; 0.00032792
1/14/2021;19:22:58.027; 0.00032792
1/14/2021;19:22:58.029; 0.00032756
1/14/2021;19:22:58.031; 0.00032756
1/14/2021;19:22:58.033; 0.00032864
1/14/2021;19:22:58.034; 0.0003272
1/14/2021;19:22:58.036; 0.0003272
1/14/2021;19:22:58.038; 0.00032685
1/14/2021;19:22:58.039; 0.00032756
1/14/2021;19:22:58.041; 0.00032792
1/14/2021;19:22:58.043; 0.0003272
1/14/2021;19:22:58.045; 0.0003272
1/14/2021;19:22:58.047; 0.0003272
1/14/2021;19:22:58.049; 0.00032685
1/14/2021;19:22:58.051; 0.00032649
1/14/2021;19:22:58.053; 0.0003272
1/14/2021;19:22:58.054; 0.00032649
1/14/2021;19:22:58.056; 0.00032756
1/14/2021;19:22:58.058; 0.0003272
1/14/2021;19:22:58.060; 0.00032828
1/14/2021;19:22:58.062; 0.0003272
1/14/2021;19:22:58.064; 0.0003272
1/14/2021;19:22:58.066; 0.00032756
1/14/2021;19:22:58.068; 0.0003272
1/14/2021;19:22:58.070; 0.0003272
1/14/2021;19:22:58.072; 0.00032828
1/14/2021;19:22:58.074; 0.00032828
1/14/2021;19:22:58.076; 0.00032792
1/14/2021;19:22:58.078; 0.00032792
1/14/2021;19:22:58.080; 0.00032792
1/14/2021;19:22:58.082; 0.00032756
1/14/2021;19:22:58.084; 0.00032792
1/14/2021;19:22:58.086; 0.00032864
1/14/2021;19:22:58.088; 0.00032828
1/14/2021;19:22:58.090; 0.00032828
1/14/2021;19:22:58.092; 0.00032792
1/14/2021;19:22:58.093; 0.00032792
1/14/2021;19:22:58.095; 0.00032792
1/14/2021;19:22:58.097; 0.00032792
1/14/2021;19:22:58.099; 0.00032792
1/14/2021;19:22:58.100; 0.00032792
1/14/2021;19:22:58.102; 0.00032756
1/14/2021;19:22:58.104; 0.00032828
1/14/2021;19:22:58.106; 0.00032792
1/14/2021;19:22:58.108; 0.00032792
